unique_number,rev_bis,name_en,date_inscribed,danger_list,Latitude,Longitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en
1179,,Notre-Dame Cathedral in Tournai,2000,,50.60603,3.38926,0.4963,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Belgium
1362,,Plantin-Moretus House-Workshops-Museum Complex,2005,,51.21833,4.39778,0.23,0,1,1,1,0,1,0,0,0,0,(ii)(iii)(iv)(vi),Cultural,C,Belgium
1578,,Stoclet House,2009,,50.835,4.4161111111,0.86,1,1,0,0,0,0,0,0,0,0,(i)(ii),Cultural,C,Belgium
1837,Rev,Major Mining Sites of Wallonia,2012,,50.4352777778,3.8383333333,118.07,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Belgium
900,,Belize Barrier Reef Reserve System,1996,1,16.75,-87.05833333,96300,0,0,0,0,0,0,1,0,1,1,(vii)(ix)(x),Natural,N,Belize
1560,Bis,Royal Palaces of Abomey,1985,,7.183333333,1.983333333,47.6,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Benin
484,,City of Potosí,1987,Y 2014,-19.58361,-65.75306,0,0,1,0,1,0,1,0,0,0,0,(ii)(iv)(vi),Cultural,C,Bolivia (Plurinational State of)
619,,Jesuit Missions of the Chiquitos,1990,,-16,-60.5,0,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Bolivia (Plurinational State of)
668,,Historic City of Sucre,1991,,-19.04306,-65.25917,0,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Bolivia (Plurinational State of)
670,rev,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,2000,,-16.55833333,-68.67778,0,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Bolivia (Plurinational State of)
1035,,Fuerte de Samaipata,1998,,-18.16666667,-63.81666667,0,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Bolivia (Plurinational State of)
1131,,Noel Kempff Mercado National Park,2000,,-14.26667,-60.86667,1523446,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Bolivia (Plurinational State of)
1107,Rev,Old Bridge Area of the Old City of Mostar,2005,,43.34812,17.81092,7.6,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Bosnia and Herzegovina
1437,,Mehmed Paša Sokolović Bridge in Višegrad,2007,,43.7814444444,19.288025,1.5,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Bosnia and Herzegovina
1191,,Tsodilo,2001,,-18.75,21.73333333,4800,1,0,1,0,0,1,0,0,0,0,(i)(iii)(vi),Cultural,C,Botswana
1976,,Okavango Delta,2014,,-19.2833333333,22.9,2023590,0,0,0,0,0,0,1,0,1,1,(vii)(ix)(x),Natural,N,Botswana
136,,Historic Town of Ouro Preto,1980,,-20.38888889,-43.50555556,0,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,Brazil
210,,Historic Centre of the Town of Olinda,1982,,-8.013333333,-34.845,120,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Brazil
348,,Historic Centre of Salvador de Bahia,1985,,-12.96666667,-38.5,0,0,0,0,1,0,1,0,0,0,0,(iv)(vi),Cultural,C,Brazil
380,,Sanctuary of Bom Jesus do Congonhas,1985,,-20.49972222,-43.85777778,2.19,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Brazil
408,,Iguaçu National Park,1986,P 1999-2001,-25.68333,-54.43333,170086,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,Brazil
